5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0
72481,44862,48430,41750,45111,34232,34500,28363,29638,25746,25925,23665,26171,21572,22429,21493,20372,20092,19606,18999,17859,18639,18742,17529,20733,19089,17396,16300,18047,16580,16901,15993,15212,17545,16999,15055,16558,14480,14294,16676,16730,14723,16544,14249,16008,15817
79015,58944,61236,56201,56461,43064,46618,41265,41013,37760,34330,33702,34209,30828,29429,28218,29103,26000,25256,25207,25869,23230,22847,23661,24036,21954,20855,20185,21028,20034,18868,20499,18568,18951,17485,18388,17869,16845,17414,17521,16480,16678,16129,15579,16043,16127
542761,307745,307277,261842,266856,194990,205222,176272,180753,145719,140266,132089,138024,113202,115814,107284,107244,92675,92105,88333,87538,81718,78715,78749,80574,69847,69447,66483,67126,61352,60709,62624,58516,55639,54039,52878,53153,46988,47956,47156,46647,43523,43759,42464,42253,15727
615550,350289,349569,300020,304078,222030,232424,203260,204696,164718,156020,148480,154956,128360,130704,119027,116513,97405,101472,93476,92825,86237,81487,82216,86663,72409,72445,66384,70181,59237,59402,63776,57336,53792,52640,50323,51304,41640,41636,36781,34505,23888,23799,20524,22843,11202
2.584,1.504,1.756,1.356,1.608,1.22,1.148,1.016,1.116,0.908,0.888,0.74,0.848,0.74,0.736,0.736,0.676,0.612,0.596,0.632,0.612,0.512,0.572,0.496,0.572,0.572,0.532,0.508,0.548,0.488,0.528,0.492,0.508,0.468,0.548,0.428,0.468,0.404,0.464,0.404,0.424,0.384,0.404,0.484,0.464,0.404
2.448,1.784,1.912,1.704,1.8,1.332,1.404,1.316,1.256,1.256,1.072,1.06,1.04,0.996,0.96,0.964,0.98,0.864,0.812,0.796,0.86,0.732,0.756,0.776,0.78,0.716,0.692,0.672,0.692,0.648,0.648,0.652,0.572,0.608,0.568,0.628,0.564,0.564,0.584,0.504,0.464,0.464,0.484,0.444,0.464,0.444
10.608,6.0,6.0,5.192,5.232,3.82,3.968,3.492,3.512,2.868,2.764,2.62,2.664,2.248,2.268,2.12,2.1,1.812,1.812,1.772,1.732,1.588,1.544,1.524,1.544,1.38,1.356,1.336,1.356,1.212,1.212,1.216,1.152,1.112,1.112,1.052,1.052,0.948,0.968,0.968,0.948,0.908,0.908,0.908,0.928,0.444
10.628,6.068,6.02,5.208,5.28,3.816,4.02,3.516,3.524,2.848,2.704,2.552,2.704,2.208,2.224,2.036,2.036,1.688,1.752,1.624,1.612,1.484,1.436,1.42,1.48,1.24,1.248,1.168,1.236,1.044,1.044,1.092,0.992,0.968,0.944,0.856,0.92,0.744,0.752,0.668,0.62,0.444,0.444,0.396,0.42,0.244
145,195,475,340,605,565,360,310,420,390,480,305,545,405,420,475,300,555,470,415,335,465,615,345,810,780,555,430,700,535,595,405,355,825,800,440,710,490,415,890,935,565,950,570,900,935
30,625,750,915,940,955,1130,1095,990,1390,1150,1200,1180,1310,1155,1230,1340,1235,1125,1285,1380,1085,1155,1275,1280,1260,1070,1040,1210,1180,985,1215,985,1130,880,1105,1015,990,1065,1080,890,965,870,845,915,1000
8275,8205,8190,8015,8130,8070,8485,8015,8090,8130,7810,7840,8100,7995,8125,7810,7735,7570,7650,7500,7460,7750,7400,7595,7870,7340,7305,7205,7245,7090,6990,7470,6915,6950,6720,6700,6705,6255,6345,6340,6285,6050,6100,6025,5980,925
8275,8205,8190,8025,8130,8125,8495,8100,8155,8150,7695,7810,8160,7970,8135,7775,7575,7180,7530,7180,7105,7395,6960,7280,7730,7025,7035,6530,7040,6300,6315,7080,6255,6270,6140,5985,6110,5075,5025,4295,3950,2245,2250,1740,2175,0
